iter	Passed	Remaining
0	0	335
1	1	299
2	1	297
3	2	295
4	2	285
5	3	279
6	4	286
7	4	280
8	5	278
9	5	272
10	6	269
11	6	267
12	7	267
13	7	265
14	9	282
15	9	279
16	10	282
17	10	283
18	11	282
19	12	282
20	12	281
21	13	279
22	13	277
23	15	289
24	15	286
25	16	283
26	16	281
27	17	278
28	18	287
29	18	285
30	19	282
31	19	280
32	20	278
33	20	275
34	21	274
35	21	271
36	22	269
37	22	267
38	23	266
39	24	266
40	24	265
41	25	264
42	25	263
43	26	261
44	26	259
45	27	258
46	27	256
47	28	255
48	28	253
49	29	252
50	29	250
51	29	249
52	30	248
53	31	248
54	31	246
55	32	245
56	32	244
57	33	243
58	33	242
59	34	243
60	34	242
61	35	242
62	36	242
63	36	241
64	37	240
65	37	239
66	38	237
67	38	236
68	39	235
69	39	234
70	40	233
71	40	232
72	41	231
73	41	230
74	42	229
75	42	228
76	43	228
77	43	227
78	44	225
79	44	225
80	45	224
81	45	223
82	45	222
83	46	221
84	46	220
85	47	219
86	47	218
87	48	217
88	48	216
89	49	215
90	49	215
91	50	214
92	50	213
93	51	213
94	51	212
95	52	211
96	52	210
97	53	209
98	53	209
99	54	208
100	54	207
101	55	206
102	55	206
103	56	205
104	56	204
105	57	204
106	57	203
107	58	202
108	58	201
109	59	201
110	59	200
111	60	199
112	60	198
113	61	198
114	61	197
115	62	196
116	62	196
117	63	195
118	63	194
119	63	194
120	64	193
121	65	193
122	65	192
123	66	192
124	66	191
125	67	190
126	67	189
127	68	189
128	68	188
129	68	187
130	69	187
131	69	186
132	70	185
133	70	185
134	71	184
135	71	184
136	72	183
137	73	183
138	73	183
139	74	182
140	74	181
141	75	181
142	75	180
143	76	180
144	76	179
145	77	178
146	77	178
147	78	178
148	79	179
149	80	178
150	80	178
151	81	177
152	81	177
153	82	177
154	83	176
155	83	176
156	84	176
157	85	176
158	85	175
159	86	175
160	87	175
161	87	174
162	88	174
163	88	173
164	89	172
165	89	172
166	90	171
167	90	170
168	91	170
169	91	169
170	92	168
171	92	168
172	93	167
173	93	166
174	94	166
175	94	165
176	95	164
177	95	164
178	96	163
