id,employee_id,clock_type,building,start_date,end_date,hours
1,990002,2,Building A,2020-11-18,2020-11-18,2
2,990001,2,Building A,2021-01-05,2021-01-05,4
3,990002,2,Building A,2021-02-22,2021-02-22,1
4,990002,2,Building A,2021-03-12,2021-03-12,2
5,990002,2,Building A,2021-03-31,2021-03-31,2
6,990001,2,Building A,2021-06-01,2021-06-01,1
7,990002,2,Building A,2021-06-12,2021-06-12,2
8,990001,2,Building A,2021-08-04,2021-08-04,2
9,990004,2,Building A,2022-02-17,2022-02-17,2
10,990004,2,Building A,2022-04-10,2022-04-10,4
11,990004,2,Building A,2022-04-28,2022-04-28,2
12,990010,2,Building A,2022-06-30,2022-06-30,1
13,990006,2,Building A,2022-07-09,2022-07-09,1
14,990001,2,Building A,2022-07-19,2022-07-19,3
15,990002,2,Building A,2022-08-02,2022-08-02,3
16,990004,2,Building A,2022-08-10,2022-08-10,4
17,990009,2,Building A,2022-08-11,2022-08-11,2
18,990002,2,Building A,2022-08-15,2022-08-15,4
19,990003,2,Building A,2022-08-15,2022-08-15,4
20,990004,2,Building A,2022-08-18,2022-08-18,1
21,990004,2,Building A,2022-08-19,2022-08-19,1
22,990007,2,Building A,2022-09-03,2022-09-03,4
23,990005,2,Building A,2022-09-04,2022-09-04,4
24,990008,2,Building A,2022-09-09,2022-09-09,2
25,990009,2,Building A,2022-09-25,2022-09-25,2
26,990001,2,Building A,2022-10-01,2022-10-01,4
27,990004,2,Building A,2022-10-03,2022-10-03,4
28,990005,2,Building A,2022-11-11,2022-11-11,4
29,990007,2,Building A,2022-11-15,2022-11-15,4
30,990007,2,Building A,2022-11-17,2022-11-17,2
31,990007,2,Building A,2022-11-18,2022-11-18,2
32,990006,2,Building A,2022-11-25,2022-11-25,1
33,990010,2,Building A,2022-11-29,2022-11-29,2
34,990007,2,Building A,2022-12-06,2022-12-06,4
35,990003,2,Building A,2022-12-12,2022-12-12,3
36,990007,2,Building A,2022-12-18,2022-12-18,4
37,990012,2,Building A,2022-12-19,2022-12-19,4
38,990010,2,Building A,2023-01-09,2023-01-09,1
39,990007,2,Building A,2023-01-11,2023-01-11,3
40,990007,2,Building A,2023-01-18,2023-01-18,1
41,990012,2,Building A,2023-01-22,2023-01-22,1
42,990007,2,Building A,2023-01-26,2023-01-26,3
43,990007,2,Building A,2023-02-06,2023-02-06,3
44,990010,2,Building A,2023-02-09,2023-02-09,4
45,990010,2,Building A,2023-02-21,2023-02-21,2
46,990010,2,Building A,2023-02-24,2023-02-24,1
47,990012,2,Building A,2023-03-03,2023-03-03,3
48,990010,2,Building A,2023-03-28,2023-03-28,4
49,990010,2,Building A,2023-03-30,2023-03-30,4
50,990015,2,Building A,2023-08-04,2023-08-04,1
51,990015,2,Building A,2023-08-08,2023-08-08,1
52,990017,2,Building A,2023-08-26,2023-08-26,3
53,990001,2,Building A,2023-09-13,2023-09-13,1
54,990003,2,Building A,2023-09-16,2023-09-16,3
55,990008,2,Building A,2023-09-25,2023-09-25,4
56,990015,2,Building A,2023-09-30,2023-09-30,4
57,990001,2,Building A,2023-11-06,2023-11-06,3
58,990016,2,Building A,2023-11-11,2023-11-11,4
59,990009,2,Building A,2023-11-13,2023-11-13,1
60,990017,2,Building A,2023-11-18,2023-11-18,3
61,990006,2,Building A,2023-11-20,2023-11-20,1
62,990009,2,Building A,2023-11-30,2023-11-30,3
63,990013,2,Building A,2023-12-16,2023-12-16,1
64,990006,2,Building A,2024-01-28,2024-01-28,2
65,990002,2,Building A,2024-01-29,2024-01-29,1
66,990017,2,Building A,2024-02-06,2024-02-06,1
67,990013,2,Building A,2024-02-18,2024-02-18,3
68,990006,2,Building A,2024-02-20,2024-02-20,3
69,990015,2,Building A,2024-02-24,2024-02-24,3
70,990008,2,Building A,2024-02-27,2024-02-27,3
71,990017,2,Building A,2024-03-29,2024-03-29,3
72,990014,2,Building A,2024-04-29,2024-04-29,1
73,990009,2,Building A,2024-05-14,2024-05-14,2
74,990008,2,Building A,2024-07-01,2024-07-01,3
75,990008,2,Building A,2024-09-19,2024-09-19,1
76,990024,2,Building A,2024-10-21,2024-10-21,4
77,990009,2,Building A,2024-10-23,2024-10-23,3
78,990024,2,Building A,2024-10-24,2024-10-24,1
79,990026,2,Building A,2024-10-30,2024-10-30,3
