id,employee_id,position_id,effective_date,movement_type,note,salary
1,1,3,2020-05-18,0,,75847.5
2,2,34,2020-05-18,0,,100279.99999999999
3,3,33,2021-02-25,0,,60804.00000000001
4,4,13,2021-06-06,0,,45063.0
5,5,28,2021-11-09,0,,78512.0
6,6,37,2021-11-09,0,,50549.99999999999
7,9,32,2021-12-19,0,,40132.0
8,10,27,2021-12-19,0,,39456.0
9,1,4,2022-01-01,3,,178704.0
10,2,31,2022-01-01,3,,197620.0
11,3,34,2022-01-01,3,,98620.0
12,4,13,2022-01-05,5,,47699.1855
13,6,38,2022-02-01,3,,833170.0
14,7,10,2022-02-18,0,,45414.00000000001
15,8,8,2022-02-18,0,,84362.5
16,4,13,2022-06-01,5,,51023.81872935
17,14,11,2022-07-01,0,,74145.0
18,9,32,2022-10-04,5,,43282.362
19,4,13,2022-10-27,1,,47699.1855
20,11,27,2022-11-01,0,,39408.0
21,12,32,2022-11-01,0,,39732.0
22,13,37,2022-12-09,0,,49670.0
23,5,29,2023-01-01,3,,118380.0
24,7,10,2023-02-18,1,,45414.00000000001
25,15,15,2023-03-09,0,,34849.5
26,16,16,2023-03-09,0,,49495.0
27,14,4,2023-04-01,3,,177210.0
28,9,32,2023-04-01,5,,45792.738996
29,10,27,2023-04-18,1,,39456.0
30,17,24,2023-05-01,0,,39772.0
31,12,32,2023-06-23,1,,39732.0
32,15,15,2023-09-01,5,,36996.2292
33,3,35,2024-01-01,3,,149775.0
34,17,24,2024-01-01,5,,42237.864
35,18,6,2024-02-28,0,,25235.000000000004
36,19,1,2024-02-28,0,,29652.0
37,8,47,2024-03-01,3,,141750.0
38,6,31,2024-04-01,3,,198320.0
39,9,34,2024-04-01,3,,99700.0
40,17,24,2024-04-19,1,,42237.864
41,15,16,2024-05-01,3,,49730.0
42,9,34,2024-05-01,5,,48938.7001650252
43,20,16,2024-06-18,0,,50270.0
44,21,13,2024-06-18,0,,45184.5
45,22,12,2024-06-18,0,,25212.5
46,23,12,2024-06-18,0,,25360.0
47,24,9,2024-06-18,0,,24940.0
48,25,25,2024-06-18,0,,59178.0
49,26,40,2024-06-18,0,,40199.99999999999
50,2,23,2024-07-01,3,,271377.0
51,27,38,2024-08-01,0,,834275.0
52,16,17,2024-10-01,3,,88605.0
53,15,16,2024-12-05,5,,52201.581000000006
54,19,1,2025-01-01,5,,31268.034
55,8,47,2025-01-05,1,,141750.0
56,24,9,2025-01-19,1,,24940.0
57,1,5,2025-02-01,3,,243575.99999999997
58,5,30,2025-02-01,3,,147300.0
59,11,28,2025-04-01,3,,79872.0
60,18,6,2025-04-28,1,,25235.000000000004
61,19,2,2025-05-01,3,,45612.0
62,28,7,2025-05-17,0,,44523.0
63,16,17,2025-06-18,5,,95401.0035
64,23,12,2025-06-19,1,,25360.0
65,26,40,2025-06-27,1,,40199.99999999999
66,22,16,2025-07-01,3,,49540.0
67,25,25,2025-07-01,5,,62125.0644
