id,employee_id,position_id,created_at
1,990001,3,2020-05-18
2,990002,34,2020-05-18
3,990003,33,2021-02-25
4,990004,13,2021-06-06
5,990005,28,2021-11-09
6,990006,37,2021-11-09
7,990009,32,2021-12-19
8,990010,27,2021-12-19
9,990001,4,2022-01-01
10,990002,31,2022-01-01
11,990003,34,2022-01-01
12,990006,38,2022-02-01
13,990007,10,2022-02-18
14,990008,8,2022-02-18
15,990014,11,2022-07-01
16,990011,27,2022-11-01
17,990012,32,2022-11-01
18,990013,37,2022-12-09
19,990005,29,2023-01-01
20,990015,15,2023-03-09
21,990016,16,2023-03-09
22,990014,4,2023-04-01
23,990017,24,2023-05-01
24,990003,35,2024-01-01
25,990018,6,2024-02-28
26,990019,1,2024-02-28
27,990008,47,2024-03-01
28,990006,31,2024-04-01
29,990009,34,2024-04-01
30,990015,16,2024-05-01
31,990020,16,2024-06-18
32,990021,13,2024-06-18
33,990022,12,2024-06-18
34,990023,12,2024-06-18
35,990024,9,2024-06-18
36,990025,25,2024-06-18
37,990026,40,2024-06-18
38,990002,23,2024-07-01
39,990027,38,2024-08-01
40,990016,17,2024-10-01
41,990001,5,2025-02-01
42,990005,30,2025-02-01
43,990011,28,2025-04-01
44,990019,2,2025-05-01
45,990028,7,2025-05-17
46,990022,16,2025-07-01
