id,employee_id,skill_id,score,created_at
1,990001,17,3,2020-05-18
2,990001,26,4,2020-05-18
3,990001,28,2,2020-05-18
4,990001,29,2,2020-05-18
5,990001,30,3,2020-05-18
6,990001,31,4,2020-05-18
7,990001,32,4,2020-05-18
8,990001,33,3,2020-05-18
9,990001,34,3,2020-05-18
10,990001,35,3,2020-05-18
11,990001,36,4,2020-05-18
12,990001,37,2,2020-05-18
13,990001,38,4,2020-05-18
14,990001,42,4,2020-05-18
15,990001,52,4,2020-05-18
16,990001,54,3,2020-05-18
17,990001,58,3,2020-05-18
18,990001,59,4,2020-05-18
19,990002,1,4,2020-05-18
20,990002,2,3,2020-05-18
21,990002,3,2,2020-05-18
22,990002,6,3,2020-05-18
23,990002,7,4,2020-05-18
24,990002,8,2,2020-05-18
25,990002,9,4,2020-05-18
26,990002,10,4,2020-05-18
27,990002,11,4,2020-05-18
28,990002,12,3,2020-05-18
29,990002,13,3,2020-05-18
30,990002,15,4,2020-05-18
31,990002,16,3,2020-05-18
32,990002,17,2,2020-05-18
33,990002,19,3,2020-05-18
34,990002,27,3,2020-05-18
35,990002,51,2,2020-05-18
36,990002,52,3,2020-05-18
37,990002,54,3,2020-05-18
38,990003,1,2,2021-02-25
39,990003,2,2,2021-02-25
40,990003,3,2,2021-02-25
41,990003,6,2,2021-02-25
42,990003,7,3,2021-02-25
43,990003,8,4,2021-02-25
44,990003,9,2,2021-02-25
45,990003,10,3,2021-02-25
46,990003,11,3,2021-02-25
47,990003,12,4,2021-02-25
48,990003,13,3,2021-02-25
49,990003,15,2,2021-02-25
50,990003,16,4,2021-02-25
51,990003,17,4,2021-02-25
52,990003,18,4,2021-02-25
53,990003,19,4,2021-02-25
54,990003,27,3,2021-02-25
55,990003,51,2,2021-02-25
56,990003,52,4,2021-02-25
57,990003,54,4,2021-02-25
58,990005,1,3,2021-11-09
59,990005,2,4,2021-11-09
60,990005,10,3,2021-11-09
61,990005,11,3,2021-11-09
62,990005,13,4,2021-11-09
63,990005,14,2,2021-11-09
64,990005,15,2,2021-11-09
65,990005,16,3,2021-11-09
66,990005,18,4,2021-11-09
67,990005,19,2,2021-11-09
68,990005,27,3,2021-11-09
69,990005,51,3,2021-11-09
70,990005,52,2,2021-11-09
71,990005,54,2,2021-11-09
72,990006,1,3,2021-11-09
73,990006,2,4,2021-11-09
74,990006,3,4,2021-11-09
75,990006,6,4,2021-11-09
76,990006,7,3,2021-11-09
77,990006,8,3,2021-11-09
78,990006,9,2,2021-11-09
79,990006,10,3,2021-11-09
80,990006,11,2,2021-11-09
81,990006,12,3,2021-11-09
82,990006,13,2,2021-11-09
83,990006,15,4,2021-11-09
84,990006,16,2,2021-11-09
85,990006,17,4,2021-11-09
86,990006,18,3,2021-11-09
