id,employee_id,evaluation_type,evaluation_date,score
1,1,0,2020-12-25,4.0
2,2,0,2020-12-25,3.9
3,1,0,2021-06-25,3.8
4,2,0,2021-06-25,4.1
5,3,0,2021-06-25,4.6
6,1,0,2021-12-25,3.9
7,2,0,2021-12-25,4.3
8,3,0,2021-12-25,4.6
9,4,0,2021-12-25,4.8
10,5,0,2021-12-25,4.4
11,6,0,2021-12-25,4.4
12,1,0,2022-06-25,4.6
13,2,0,2022-06-25,4.8
14,3,0,2022-06-25,3.7
15,4,0,2022-06-25,4.9
16,5,0,2022-06-25,4.8
17,6,0,2022-06-25,4.6
18,7,0,2022-06-25,1.6
19,8,0,2022-06-25,3.3
20,9,0,2022-06-25,4.0
21,10,0,2022-06-25,1.8
22,1,0,2022-12-25,4.0
23,2,0,2022-12-25,4.3
24,3,0,2022-12-25,4.2
26,5,0,2022-12-25,4.6
27,6,0,2022-12-25,4.5
28,1,0,2022-12-25,5.0
29,2,0,2022-12-25,4.0
30,3,0,2022-12-25,4.7
32,5,0,2022-12-25,4.8
33,6,0,2022-12-25,4.1
34,7,0,2022-12-25,1.9
35,8,0,2022-12-25,2.8
36,9,0,2022-12-25,4.3
37,10,0,2022-12-25,1.8
38,14,0,2022-12-25,2.1
39,1,0,2023-06-25,4.6
40,2,0,2023-06-25,4.2
41,3,0,2023-06-25,4.8
43,5,0,2023-06-25,4.5
44,6,0,2023-06-25,4.7
46,8,0,2023-06-25,3.3
47,9,0,2023-06-25,4.5
49,11,0,2023-06-25,4.7
50,12,0,2023-06-25,3.0
51,13,0,2023-06-25,4.2
52,14,0,2023-06-25,2.2
53,15,0,2023-06-25,3.8
54,16,0,2023-06-25,4.0
55,1,0,2023-12-25,4.2
56,2,0,2023-12-25,4.2
57,3,0,2023-12-25,4.5
59,5,0,2023-12-25,4.4
60,6,0,2023-12-25,4.2
62,8,0,2023-12-25,2.6
63,9,0,2023-12-25,4.3
65,11,0,2023-12-25,4.6
67,13,0,2023-12-25,3.4
68,14,0,2023-12-25,2.7
69,15,0,2023-12-25,3.5
70,16,0,2023-12-25,3.7
71,17,0,2023-12-25,3.0
72,1,0,2024-06-25,4.3
73,2,0,2024-06-25,3.8
74,3,0,2024-06-25,3.9
76,5,0,2024-06-25,4.1
77,6,0,2024-06-25,4.3
79,8,0,2024-06-25,2.8
80,9,0,2024-06-25,4.6
82,11,0,2024-06-25,4.5
84,13,0,2024-06-25,3.3
85,14,0,2024-06-25,3.0
86,15,0,2024-06-25,3.2
87,16,0,2024-06-25,4.9
89,18,0,2024-06-25,3.6
90,19,0,2024-06-25,3.8
91,1,0,2024-12-25,4.1
92,2,0,2024-12-25,4.2
93,3,0,2024-12-25,4.3
95,5,0,2024-12-25,4.3
96,6,0,2024-12-25,4.8
98,8,0,2024-12-25,3.0
99,9,0,2024-12-25,4.4
101,11,0,2024-12-25,3.8
103,13,0,2024-12-25,3.3
104,14,0,2024-12-25,1.5
105,15,0,2024-12-25,3.7
106,16,0,2024-12-25,4.0
108,18,0,2024-12-25,4.4
109,19,0,2024-12-25,2.7
110,20,0,2024-12-25,1.9
111,21,0,2024-12-25,2.8
112,22,0,2024-12-25,4.5
113,23,0,2024-12-25,2.6
114,24,0,2024-12-25,3.2
115,25,0,2024-12-25,4.7
116,26,0,2024-12-25,2.9
117,27,0,2024-12-25,4.7
118,1,0,2025-06-25,3.9
119,2,0,2025-06-25,4.5
120,3,0,2025-06-25,3.9
122,5,0,2025-06-25,4.0
123,6,0,2025-06-25,4.0
126,9,0,2025-06-25,4.0
128,11,0,2025-06-25,4.5
130,13,0,2025-06-25,4.4
131,14,0,2025-06-25,2.6
132,15,0,2025-06-25,2.7
133,16,0,2025-06-25,4.6
136,19,0,2025-06-25,3.0
137,20,0,2025-06-25,2.8
138,21,0,2025-06-25,2.4
139,22,0,2025-06-25,4.7
140,23,0,2025-06-25,2.5
142,25,0,2025-06-25,4.1
143,26,0,2025-06-25,3.8
144,27,0,2025-06-25,3.9
145,28,0,2025-06-25,3.4
