id,employee_id,reason,leave_type,start_date,end_date,status,hours
1,990001,,2,2020-10-02,2020-10-02,approved,8
2,990001,,2,2020-10-27,2020-10-27,approved,7
3,990001,,1,2020-11-10,2020-11-10,approved,7
4,990001,,2,2020-11-11,2020-11-11,approved,3
5,990001,,2,2020-11-26,2020-11-26,approved,5
6,990001,,1,2021-01-12,2021-01-12,approved,7
7,990001,,2,2021-01-25,2021-01-25,approved,5
8,990002,,2,2021-01-26,2021-01-26,approved,2
9,990002,,2,2021-03-11,2021-03-11,approved,4
10,990001,,2,2021-03-26,2021-03-26,approved,6
11,990002,,1,2021-11-03,2021-11-03,approved,3
12,990005,,1,2021-11-12,2021-11-12,approved,5
13,990009,,1,2021-11-12,2021-11-12,approved,7
14,990003,,2,2021-11-18,2021-11-18,approved,5
15,990004,,2,2021-11-19,2021-11-19,approved,6
16,990003,,1,2021-11-28,2021-11-28,approved,2
17,990005,,2,2021-12-01,2021-12-01,approved,7
18,990003,,2,2021-12-03,2021-12-03,approved,2
19,990008,,2,2021-12-06,2021-12-06,approved,4
20,990008,,1,2021-12-18,2021-12-18,approved,7
21,990002,,2,2021-12-22,2021-12-22,approved,8
22,990007,,2,2022-01-06,2022-01-06,approved,7
23,990003,,2,2022-01-12,2022-01-12,approved,4
24,990008,,2,2022-01-15,2022-01-15,approved,8
25,990007,,1,2022-01-15,2022-01-15,approved,7
26,990009,,1,2022-01-26,2022-01-26,approved,5
27,990005,,1,2022-01-30,2022-01-30,approved,7
28,990007,,2,2022-02-07,2022-02-07,approved,8
29,990009,,2,2022-02-14,2022-02-14,approved,2
30,990001,,1,2022-02-24,2022-02-24,approved,5
31,990002,,2,2022-02-25,2022-02-25,approved,3
32,990008,,2,2022-02-28,2022-02-28,approved,2
33,990007,,2,2022-03-08,2022-03-08,approved,6
34,990001,,2,2022-03-09,2022-03-09,approved,3
35,990004,,2,2023-03-09,2023-03-09,approved,2
36,990004,,2,2023-03-10,2023-03-10,approved,4
37,990001,,2,2023-03-17,2023-03-17,approved,7
38,990001,,1,2023-03-18,2023-03-18,approved,8
39,990006,,2,2023-03-22,2023-03-22,approved,2
40,990016,,2,2023-03-25,2023-03-25,approved,8
41,990015,,2,2023-03-27,2023-03-27,approved,2
42,990007,,2,2023-03-29,2023-03-29,approved,2
43,990003,,2,2023-03-30,2023-03-30,approved,5
44,990002,,2,2023-04-02,2023-04-02,approved,5
45,990008,,2,2023-04-04,2023-04-04,approved,3
46,990013,,2,2023-04-05,2023-04-05,approved,6
47,990008,,1,2023-04-05,2023-04-05,approved,7
48,990006,,2,2023-04-06,2023-04-06,approved,4
49,990015,,2,2023-04-07,2023-04-07,approved,3
50,990015,,2,2023-04-08,2023-04-08,approved,5
51,990006,,2,2023-04-08,2023-04-08,approved,8
52,990011,,2,2023-04-10,2023-04-10,approved,6
53,990014,,1,2023-04-16,2023-04-16,approved,4
54,990003,,2,2023-04-17,2023-04-17,approved,8
55,990008,,1,2023-04-21,2023-04-21,approved,2
56,990011,,2,2023-04-25,2023-04-25,approved,5
57,990005,,2,2023-04-26,2023-04-26,approved,3
58,990017,,2,2023-04-29,2023-04-29,approved,6
59,990005,,2,2023-05-04,2023-05-04,approved,7
60,990009,,2,2023-05-08,2023-05-08,approved,3
61,990008,,1,2023-05-12,2023-05-12,approved,7
62,990013,,2,2023-05-15,2023-05-15,approved,5
63,990013,,2,2023-05-16,2023-05-16,approved,3
64,990003,,2,2023-05-18,2023-05-18,approved,8
65,990016,,1,2023-05-19,2023-05-19,approved,8
66,990014,,2,2023-05-21,2023-05-21,approved,8
67,990008,,1,2023-05-26,2023-05-26,approved,6
68,990009,,1,2023-06-03,2023-06-03,approved,4
69,990001,,1,2023-06-04,2023-06-04,approved,7
70,990007,,2,2023-06-04,2023-06-04,approved,4
71,990015,,2,2023-06-07,2023-06-07,approved,4
