id,skill_id,position_id
1,1,23
2,1,31
3,1,32
4,1,33
5,1,34
6,1,35
7,1,24
8,1,25
9,1,26
10,1,27
11,1,28
12,1,29
13,1,30
14,2,23
15,2,31
16,2,32
17,2,33
18,2,34
19,2,35
20,2,27
21,2,28
22,2,29
23,2,30
24,3,23
25,3,31
26,3,32
27,3,33
28,3,34
29,3,35
30,3,24
31,3,25
32,3,26
33,4,36
34,4,37
35,4,38
36,5,36
37,5,37
38,5,38
39,6,23
40,6,31
41,6,32
42,6,33
43,6,34
44,6,35
45,7,23
46,7,31
47,7,32
48,7,33
49,7,34
50,7,35
51,8,23
52,8,31
53,8,32
54,8,33
55,8,34
56,8,35
57,8,24
58,8,25
59,8,26
60,9,23
61,9,31
62,9,32
63,9,33
64,9,34
65,9,35
66,10,23
67,10,31
68,10,32
69,10,33
70,10,34
71,10,35
72,10,27
73,10,28
74,10,29
75,10,30
76,11,23
77,11,31
78,11,32
79,11,33
80,11,34
81,11,35
82,11,27
83,11,28
84,11,29
85,11,30
86,12,23
87,12,31
88,12,32
89,12,33
90,12,34
91,12,35
92,13,23
93,13,31
94,13,32
95,13,33
96,13,34
97,13,35
98,13,27
99,13,28
100,13,29
101,13,30
102,14,27
103,14,28
104,14,29
105,14,30
106,15,23
107,15,31
108,15,32
109,15,33
110,15,34
111,15,35
112,15,27
113,15,28
114,15,29
115,15,30
116,15,36
117,15,37
118,15,38
119,16,23
120,16,31
121,16,32
122,16,33
123,16,34
124,16,35
125,16,27
126,16,28
127,16,29
128,16,30
129,17,23
130,17,31
131,17,32
132,17,33
133,17,34
134,17,35
135,17,24
136,17,25
137,17,26
138,17,1
139,17,2
140,17,3
141,17,4
142,17,5
143,17,6
144,17,7
145,17,8
146,18,31
147,18,34
148,18,35
149,18,29
150,18,30
151,18,38
152,19,23
153,19,31
154,19,32
155,19,33
156,19,34
157,19,35
158,19,27
159,19,28
160,19,29
161,19,30
162,19,36
163,19,37
164,19,38
165,20,36
166,20,37
167,20,38
168,26,1
169,26,2
170,26,3
171,26,4
172,26,5
173,26,24
174,26,25
175,26,26
176,26,19
177,26,20
178,26,21
179,26,22
180,27,23
181,27,31
182,27,32
183,27,33
184,27,34
185,27,35
186,27,24
187,27,25
188,27,26
189,27,27
190,27,28
191,27,29
192,27,30
193,28,9
194,28,10
195,28,11
196,28,1
197,28,2
198,28,3
199,28,4
200,28,5
201,28,24
202,28,25
203,28,26
204,28,15
205,28,16
206,28,17
207,28,18
208,29,9
209,29,10
210,29,11
211,29,1
212,29,2
213,29,3
214,29,4
215,29,5
216,29,24
217,29,25
218,29,26
219,29,15
220,29,16
221,29,17
222,29,18
223,30,9
224,30,10
225,30,11
226,30,1
227,30,2
228,30,3
229,30,4
230,30,5
231,30,24
232,30,25
233,30,26
234,31,1
235,31,2
236,31,3
237,31,4
238,31,5
239,31,24
240,31,25
241,31,26
242,32,9
243,32,10
244,32,11
245,32,1
246,32,2
247,32,3
248,32,4
249,32,5
250,32,39
251,32,40
