id,name
1,Python Programming
2,ETL Tools
3,R Programming
4,JavaScript Programming
5,C++ Programming
6,Machine Learning
7,Data Analytics
8,Data Visualization
9,Statistics
10,Cloud Computing (AWS)
11,SQL Programming
12,Experiment Design
13,Big Data
14,Schema Design
15,Git Version Control
16,Data Pipeline
17,Business Intelligent
18,Code Review
19,Docker
20,RESTful services
21,Analytical thinking
22,Communication
23,Teamwork
24,Time Management
25,Problem Solving
26,Microsoft Excel / Sheets
27,Database Management
28,Presentation
29,Stakeholder management
30,Business Understanding
31,Market Research
32,Document Management
33,Negotiation
34,Proposal Creation
35,PowerPoint / Slides
36,Microsoft Word / Docs
37,CRM systems
38,Product Understanding
39,Search Engine Optimization
40,Content Creation
41,Social Media Management
42,Creativity
43,A/B Testing
44,Basics Law
45,Performance Management
46,Recruitment
47,Emotional Intelligence
48,Organizational Management
49,Project Management
50,Leadership
51,Agile Methodologies
52,Risk Management
53,Budget Tracking
54,Strategic Planning
55,Contract Review & Drafting
56,Laws
57,Compliance Frameworks
58,Attention to Detail
59,Concise Writing
60,Financial Report
61,Tax Compliance & Auditing
62,Prototyping
63,User Research
64,User Flows & Journey Mapping
65,Design Tools
68,Data Sci
69,Data Analysis
70,Project Mgmt
71,Data Scientist
